Key,Title,Upload_Date,Views,Likes,Dislikes,Comments
,,,,,,
kJQP7kiw5Fk,Luis Fonsi - Despacito ft. Daddy Yankee,2017-01-13T05:00:02Z,6888827175,38917907,4631387,3442214
,,,,,,
JGwWNGJdvx8,Ed Sheeran - Shape of You [Official Video],2017-01-30T10:57:50Z,4913649752,23818604,1259869,968859
,,,,,,
RgKAFK5djSk,Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,2015-04-07T03:00:03Z,4667717150,29427984,890749,1878668
,,,,,,
KYniUCGPGLs,Маша и Медведь (Masha and The Bear) - Маша плюс каша (17 Серия),2012-01-31T12:35:26Z,4319572566,7123706,3940149,11575
,,,,,,
OPf0YbXqDm0,Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars,2014-11-19T14:00:18Z,3905282817,14601168,883596,514369
,,,,,,
9bZkp7q19f0,PSY - GANGNAM STYLE(강남스타일) M/V,2012-07-15T07:46:32Z,3721310043,18777668,2483748,5040447
,,,,,,
F4tHL8reNCs,Johny Johny Yes Papa 👶 THE BEST Song for Children | LooLoo Kids,2016-10-08T07:06:35Z,3639502807,9710928,6452634,48131
,,,,,,
fRh_vgS2dFE,Justin Bieber - Sorry (PURPOSE : The Movement),2015-10-22T20:00:02Z,3320297721,13112485,1601846,830037
,,,,,,
09R8_2nJtjg,Maroon 5 - Sugar (Official Music Video),2015-01-14T15:00:11Z,3248255222,11914455,521320,367538
,,,,,,
CevxZvSJLk8,Katy Perry - Roar (Official),2013-09-05T20:00:22Z,3132529687,11612280,901274,680471
,,,,,,
lp-EO5I60KA,Ed Sheeran - Thinking Out Loud [Official Video],2014-10-07T13:57:37Z,3048137962,11543418,504978,318480
,,,,,,
hT_nvWreIhg,OneRepublic - Counting Stars (Official Music Video),2013-05-31T07:00:36Z,3016637713,11617030,392340,377942
,,,,,,
nfWlot6h_JM,Taylor Swift - Shake It Off,2014-08-18T21:18:00Z,2946341837,9512469,987011,531728
,,,,,,
NUsoVlDFqZg,"Enrique Iglesias - Bailando ft. Descemer Bueno, Gente De Zona (Español)",2014-04-11T07:00:01Z,2882255282,7242816,512071,223399
,,,,,,
YqeW9_5kURI,Major Lazer & DJ Snake - Lean On (feat. MØ) (Official Music Video),2015-03-23T04:00:45Z,2859751791,12628250,541769,406517
,,,,,,
0KSOMA3QBU0,Katy Perry - Dark Horse (Official) ft. Juicy J,2014-02-20T20:00:03Z,2827720089,10601837,1168991,662561
,,,,,,
60ItHLz5WEA,Alan Walker - Faded,2015-12-04T07:00:30Z,2816808124,20333468,538902,1102728
,,,,,,
